,productid,marketid,share,share0,delta_true,xi_true,intercept,x1,x2,x3,z1,z2
"1-1",1,1,0.00066032166680315182,0.098222022728545744,-4.4898519688765877,-0.31789309182026898,1,-0.51160145893194964,0.58944657205427864,0.75019600982135359,62.867870936956571,75.67482849626883
"2-1",2,1,0.018555243500818198,0.098222022728545744,-1.9810470959336721,1.4073757687771782,1,-0.3420570345269433,1.1070289380994582,0.84660523171663493,116.03870710993739,81.493316334727069
"3-1",3,1,0.0015916395224402139,0.098222022728545744,-3.5010990461667868,0.88733546748538417,1,-0.4058898272768372,0.13178226485332079,0.88567304877134601,38.615485855391007,84.121069013924796
"4-1",4,1,3.6376171165321837e-05,0.098222022728545744,-9.7293591244033841,-2.0439141427737679,1,-2.1233915482879366,-1.5310414255333049,0.96898799219162468,130.32560258665657,90.244953469063532
"5-1",5,1,0.029668284475213597,0.098222022728545744,-5.12342208969552,1.4326999761199901,1,0.4959698053233651,-0.97428704910708375,-1.0778048220317913,68.212538462623584,144.76033327166962
"6-1",6,1,1.7388153853885795e-05,0.098222022728545744,-8.1917410204745007,-1.3285243624131524,1,-2.5245507741364763,0.29361610658045267,0.36771800949467393,44.749683135008084,61.932877440178231
"7-1",7,1,0.0021736107608868148,0.098222022728545744,-3.1874670624011148,-0.094173284947454985,1,0.88062338581991206,0.24594669643142691,0.78013614029500178,42.665258160754135,77.380280021399358
"8-1",8,1,0.019618486262535824,0.098222022728545744,-6.5860256500975281,0.049519363050268536,1,0.65038992781677241,-1.2224393937377438,-1.0634955472268255,91.991506846829978,142.89596071580792
"9-1",9,1,0.00050653627606308778,0.098222022728545744,-5.6914843252045539,0.31736411961812688,1,-0.90825829112702405,-0.84223536507971042,0.74164521138405337,58.119343949275802,75.204542934784769
"10-1",10,1,0.026617478032568368,0.098222022728545744,-5.4604141645522661,-0.028947625108656175,1,0.21531762679458205,0.96657781014730448,-1.6133619763854972,98.908877461733354,229.55744637670611
"11-1",11,1,0.0006568078017792705,0.098222022728545744,-6.5383540275057843,0.43376845554906895,1,-0.90436399274787393,-0.85563627058507696,-0.21212221972190307,59.062532883808956,69.557482951034146
"12-1",12,1,0.0019045185334457797,0.098222022728545744,-5.8678932069053644,0.69019109294764247,1,-0.29311400006897581,-0.93860805882952503,-0.32636224095450594,65.310099881475026,75.103560274236102
"13-1",13,1,0.00027160192827060546,0.098222022728545744,-5.7031368979684371,0.52826059172401718,1,-1.5745949542738884,0.2862176708122105,0.056979793769223984,44.410979059316119,61.75429343205878
"14-1",14,1,0.016644835675046751,0.098222022728545744,-6.4450764118898887,0.3613730728840191,1,-1.3627048921525096,1.1533700238158973,-1.597114616437296,122.13206508184591,226.55462254727257
"15-1",15,1,0.0060937519812422633,0.098222022728545744,-3.0170299348547305,0.58300385082212314,1,1.2229581585612797,0.4589660885612995,-0.28195803279943277,53.77624903049341,72.789691930714753
"16-1",16,1,0.035091335337073488,0.098222022728545744,-7.5086699263676646,-0.74037340629096715,1,0.52939027983285092,-0.1729911587105121,-2.1246956411990365,34.315949029187898,337.81998462347752
"17-1",17,1,0.016548677981548167,0.098222022728545744,-4.9453769824314389,1.4702969155641827,1,0.40715662414250592,-0.79459231170671707,-1.0282382104314112,54.914432151991797,138.39136699154855
"18-1",18,1,0.00019839896162791377,0.098222022728545744,-5.7594572126618289,0.61944453240771402,1,-2.9217149672463774,0.10156748254402385,1.4412457396328102,37.766153983493069,138.33828516373384
"19-1",19,1,0.0045701112115416279,0.098222022728545744,-3.6046250438278609,-0.83973060688741552,1,0.47936688262714411,-0.25799446108591445,2.0137331415183244,34.806527824282419,227.14198355464762
"20-1",20,1,9.7452700487724102e-05,0.098222022728545744,-7.9053182519401508,-0.68708891145419759,1,-1.4531057072094571,-0.69393847841827194,-0.07118515485822359,48.90478484975467,64.549487976648052
"21-1",21,1,0.13616190082707241,0.098222022728545744,-4.722562158483945,0.26074551772117888,1,0.30999844079189481,-2.2195225370841301,1.9262164200871119,250.85784379315049,211.40187816510345
"22-1",22,1,0.010533347644894501,0.098222022728545744,-2.2060890302342497,0.7264457633556175,1,1.7637044279896539,-0.59462393093514165,0.89838470935562031,43.987949304250435,85.009640358247879
"23-1",23,1,0.036298161910305507,0.098222022728545744,-0.75927356077703845,0.56088818107659844,1,1.6240089398957069,0.49968986103129659,1.5561394572193596,56.427384089831314,153.47918216278492
"24-1",24,1,0.14382222483864254,0.098222022728545744,-1.1154534210383424,1.3246601963474491,1,0.035544891064845319,1.4293291114230215,1.0950123801263414,162.95376334160588,100.85357805050681
"25-1",25,1,0.00024494517330687384,0.098222022728545744,-6.3135937357198344,-0.94335831235322609,1,-0.58710142445201674,0.53496570507808239,-0.31809970399267373,58.860585153130316,74.65777625867544
"26-1",26,1,0.021602850748380361,0.098222022728545744,-2.8210978645468212,1.3466852400005078,1,0.31467751898743695,-1.246392548375761,1.763931924840995,94.61920272536679,184.28208018842875
"27-1",27,1,0.00050297490370024137,0.098222022728545744,-7.7453582707889845,-0.74295854374711756,1,-0.44100682247172102,-0.7888898023304115,-0.77250310223973506,54.546343085582535,109.51307165854627
"28-1",28,1,9.3730693683635827e-05,0.098222022728545744,-7.8310990651119248,-1.4506470506020552,1,-0.71271564165640289,-0.72822858130737411,0.060492208453907181,50.836056403805479,61.701277722755677
"29-1",29,1,0.0006387260296587151,0.098222022728545744,-7.4318312301569236,-0.34055753855501913,1,-0.67342999532908177,-0.29106385038582711,-1.1267798458869962,35.196515075703864,151.29941465032331
"30-1",30,1,0.0019659833748930772,0.098222022728545744,-4.0842354620119394,1.3422054185375236,1,-0.32623798069659271,-0.54770955345842931,0.44750665360555958,42.015198225042397,63.567872721889131
"31-1",31,1,0.0065281859710623032,0.098222022728545744,-5.6113017283130997,1.5783445335210906,1,-0.49495267294974737,-1.0193511474888031,-0.67534244139564026,72.064012490957808,100.29009575068645
"32-1",32,1,0.0089603670494976008,0.098222022728545744,-2.6960322325360364,0.77280986968141485,1,1.6422781304863203,0.20392521517468146,-0.31504544787845334,41.020014507363605,74.494754477754682
"33-1",33,1,0.0008193933533043044,0.098222022728545744,-4.6083033161779303,-0.53996043811798489,1,0.44795151624123269,0.43063757686726711,0.053068028831555827,52.031814335966509,61.814817980922442
"34-1",34,1,0.0039298655946017136,0.098222022728545744,-3.2930320019029842,0.82528742682434908,1,0.80354055171720373,0.23918718433532832,-0.16104716477986444,42.388450709046232,67.508529604998429
"35-1",35,1,0.0019628503395242906,0.098222022728545744,-6.18318639056824,0.76957528353851112,1,-0.66616086343854086,-1.2375913992852523,-0.049009411382958522,93.646902770043411,63.945979509275304
"36-1",36,1,0.0071786637772897162,0.098222022728545744,-5.0606445046327844,0.54939194199452657,1,0.8596470198645082,-1.0811604817829867,-0.38852298470883301,77.683538999361261,78.680539704620145
"37-1",37,1,0.00063159237337488227,0.098222022728545744,-8.3801203498366519,-1.3569939814981193,1,-0.696374603686292,-1.7061788902033539,0.37942712555111247,156.40169018830869,62.132161007735213
"38-1",38,1,0.0036741571543746237,0.098222022728545744,-4.2520017641248993,-0.07889237911486692,1,-0.61565627185974103,1.2088434326066206,0.23370345424308853,129.71427387985568,60.647997406067802
"39-1",39,1,0.00018592369373454431,0.098222022728545744,-5.9568581596206709,-0.77079458710259063,1,-0.56039450011401681,0.13612644018982351,0.23820448740611341,38.745256449239839,60.661421404064214
"40-1",40,1,0.09596793985364159,0.098222022728545744,-1.0964655274129675,-0.94533296663213084,1,2.0340715853169438,1.1231686213084411,1.6916272325937785,118.13604362842193,173.06410567029323
"41-1",41,1,0.0018257351916946467,0.098222022728545744,-3.5799130840203692,0.62598826744250291,1,-0.18517537056880895,0.56262288658986936,0.41665113251606745,60.857046285476002,62.858591675078848
"42-1",42,1,0.11470707668103318,0.098222022728545744,-4.8873500250284918,1.0127830425325677,1,0.38226801015336692,0.67096430076732527,-1.9533653784817511,69.429227223818785,298.57404818829923
"43-1",43,1,0.0005769337957761164,0.098222022728545744,-6.3613780547601024,0.063737471942746454,1,-0.48441371819804552,-0.50215554776311466,-0.43854626074168873,40.31447839085692,81.845282803231626
"44-1",44,1,0.0017726356249112391,0.098222022728545744,-4.4469502397371574,-0.0030560344447224871,1,0.6688337193089684,0.30151627280690851,-0.41424419740831109,45.117520617499316,80.275923782070592
"45-1",45,1,0.0035477904884071926,0.098222022728545744,-2.9749118007165216,-0.17882916745291,1,1.5210860521909837,-0.33483436499944419,1.0176656795448493,35.884230108631719,94.150581338323107
"46-1",46,1,0.00093591560439263322,0.098222022728545744,-4.7819764328629466,0.22601531267091232,1,0.134596464486399,-0.11019414276910242,-0.032394067251155699,34.426881541647035,63.526667099709805
"47-1",47,1,0.0056543977754428612,0.098222022728545744,-5.3267993859439269,-1.721904689982523,1,-0.65493416361819723,-0.50687391034010076,2.5569133779968944,40.480807875535397,342.30602166351883
"48-1",48,1,0.0030513429792391774,0.098222022728545744,-4.795662048816058,0.75376777916980564,1,-0.62322883140102647,0.80390032531109001,-0.73010132189592725,81.583178648214329,105.36966700689861
"49-1",49,1,0.0020755603568493606,0.098222022728545744,-3.3938667776139142,0.58955111049521192,1,-0.45675595666100988,0.064630729716136925,1.4087073388357478,36.854367121675061,134.29497471908442
"50-1",50,1,0.10440394653435248,0.098222022728545744,-3.119059226362197,-0.56593178328159643,1,0.17964560126081883,-0.44998045399351966,2.7172074096520999,38.626616168681196,382.0421556947486
"51-1",1,2,0.13340481330688145,0.071702148061203785,-10.02973082780241,-0.76655831514981132,1,0.74140429378301942,-3.5399107719308827,-1.4646660345047355,637.62972627116551,141.71548911489847
"52-1",2,2,0.018926711822226581,0.071702148061203785,-3.0749499728332506,0.15556300481678309,1,2.2044466309507516,-1.3829750907032408,0.94801548210245568,129.2073498960637,92.12112922186914
"53-1",3,2,0.00056719295239166705,0.071702148061203785,-6.5293396390211802,-0.044084801639532933,1,-0.13405715993361264,-0.80655496591499987,-0.54464271153303445,73.690030780986902,52.766466843802533
"54-1",4,2,0.057731500472379627,0.071702148061203785,-7.1412051926182132,0.75668428934722864,1,-0.41210392307658394,0.06368075657664192,-2.5494663154654997,54.079672085186296,357.51185041777489
"55-1",5,2,1.796603707620698e-05,0.071702148061203785,-7.9725795741512488,-1.8726487374636047,1,-1.5551880971465946,0.075877682148301276,0.37937957831064817,54.353731251943323,50.3317211175072
"56-1",6,2,0.0022541459928626388,0.071702148061203785,-3.9320895134632052,-0.23199027474406606,1,1.5979049803750263,-0.66311192727018353,0.36510770817601818,65.140687480943427,49.707150844496503
"57-1",7,2,0.29495753502955357,0.071702148061203785,1.0274218261047237,2.4671172882172336,1,1.5374910905362007,1.0236689291443615,0.99914451820692773,122.05344143547229,97.494721236576737
"58-1",8,2,0.0030556746875963475,0.071702148061203785,-2.9363948468144829,0.75081589833989659,1,-0.074292108357108866,0.43109348707586609,0.95598787612686276,68.991314153820298,92.941469819338138
"59-1",9,2,0.0015136343814178554,0.071702148061203785,-3.9254597056040046,-0.95168219582760416,1,1.0939663312180969,0.90345378593760306,0.028802373067899241,108.3927567797852,41.002596411018501
"60-1",10,2,0.0018180596222909079,0.071702148061203785,-6.0835681114931228,0.81107480956075262,1,-0.16423388294336688,-0.70911752045644882,-1.02129151765406,67.654049116527929,88.071447593156435
